displayName,TEAM_ABBREVIATION,MIN,jackDKavgFPTs,draftableId,playerId,playerDkId,position,rosterSlotId,salary,status,playerImage160,teamAbbreviation,value,DraftGroup,Sport,Type,Time,Team,PPM,pos
Jordan McLaughlin,MIN,15.8,12.05,27503964,844465,33203,PG,475,2800,None,https://dkn.gs/sports/images/nba/players/160/33203.png,MIN,11.8,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.76,UTIL
Josh Minott,MIN,6.4,7.02,27504007,1324299,649588,SG/SF,476,1500,None,https://dkn.gs/sports/images/nba/players/160/649588.png,MIN,7.1,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,1.1,CPT
Josh Minott,MIN,6.4,7.02,27503973,1324299,649588,SG/SF,475,1000,None,https://dkn.gs/sports/images/nba/players/160/649588.png,MIN,7.1,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,1.1,UTIL
Karl-Anthony Towns,MIN,33.0,40.28,27503982,837030,33194,PF/C,476,12900,None,https://dkn.gs/sports/images/nba/players/160/33194.png,MIN,41.5,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,1.22,CPT
Karl-Anthony Towns,MIN,33.0,40.28,27503948,837030,33194,PF/C,475,8600,None,https://dkn.gs/sports/images/nba/players/160/33194.png,MIN,41.5,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,1.22,UTIL
Kentavious Caldwell-Pope,DEN,31.3,22.12,27503991,602730,33123,SG,476,8400,None,https://dkn.gs/sports/images/nba/players/160/33123.png,DEN,22.0,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.71,CPT
Kentavious Caldwell-Pope,DEN,31.3,22.12,27503957,602730,33123,SG,475,5600,None,https://dkn.gs/sports/images/nba/players/160/33123.png,DEN,22.0,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.71,UTIL
Kyle Anderson,MIN,28.4,26.93,27503985,697720,33137,SF/PF,476,11400,None,https://dkn.gs/sports/images/nba/players/160/33137.png,MIN,27.7,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.95,CPT
Kyle Anderson,MIN,28.4,26.93,27503951,697720,33137,SF/PF,475,7600,None,https://dkn.gs/sports/images/nba/players/160/33137.png,MIN,27.7,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.95,UTIL
Luka Garza,MIN,8.7,10.68,27504006,1061057,591056,C,476,1500,None,https://dkn.gs/sports/images/nba/players/160/591056.png,MIN,10.6,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,1.23,CPT
