displayName,TEAM_ABBREVIATION,MIN,jackDKavgFPTs,draftableId,playerId,playerDkId,position,rosterSlotId,salary,status,playerImage160,teamAbbreviation,value,DraftGroup,Sport,Type,Time,Team,PPM,pos,newMins,newAvgPoints
Aaron Gordon,DEN,30.2,32.0,27503986,748788,33270,PF,476,11100,None,https://dkn.gs/sports/images/nba/players/160/33270.png,DEN,32.0,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,1.06,CPT,33,52.47
Aaron Gordon,DEN,30.2,32.0,27503952,748788,33270,PF,475,7400,None,https://dkn.gs/sports/images/nba/players/160/33270.png,DEN,32.0,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,1.06,UTIL,33,34.98
Anthony Edwards,MIN,36.0,42.75,27503981,1175367,509114,SG/SF,476,13500,None,https://dkn.gs/sports/images/nba/players/160/509114.png,MIN,43.0,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,1.19,CPT,39,69.615
Anthony Edwards,MIN,36.0,42.75,27503947,1175367,509114,SG/SF,475,9000,None,https://dkn.gs/sports/images/nba/players/160/509114.png,MIN,43.0,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,1.19,UTIL,39,46.41
Austin Rivers,MIN,19.5,10.4,27504011,601139,33073,PG/SG,476,1500,None,https://dkn.gs/sports/images/nba/players/160/33073.png,MIN,10.3,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.53,CPT,0,0.0
Austin Rivers,MIN,19.5,10.4,27503977,601139,33073,PG/SG,475,1000,None,https://dkn.gs/sports/images/nba/players/160/33073.png,MIN,10.3,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.53,UTIL,0,0.0
Bruce Brown,DEN,28.5,24.92,27503989,941834,33044,PG/SF,476,9300,None,https://dkn.gs/sports/images/nba/players/160/33044.png,DEN,25.0,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.87,CPT,27,35.235
Bruce Brown,DEN,28.5,24.92,27503955,941834,33044,PG/SF,475,6200,None,https://dkn.gs/sports/images/nba/players/160/33044.png,DEN,25.0,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.87,UTIL,27,23.49
Christian Braun,DEN,15.5,10.25,27503993,1174878,649570,SG/SF,476,6000,None,https://dkn.gs/sports/images/nba/players/160/649570.png,DEN,10.4,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.66,CPT,19,18.81
Christian Braun,DEN,15.5,10.25,27503959,1174878,649570,SG/SF,475,4000,None,https://dkn.gs/sports/images/nba/players/160/649570.png,DEN,10.4,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.66,UTIL,19,12.54
